#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Sep 26 16:18:20 2017
#_Number_of_datafiles: 1
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2015-04-27 21:23:15
#_observed data: 
#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
1876 #_StartYr
2014 #_EndYr
1 #_Nseas
 12 #_months/season
2 #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
40 #_Nages=accumulator age
1 #_Nareas
7 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 0.16 1 1 0 WinterN  # 1
 1 0.67 1 1 0 SummerN  # 2
 1 0.16 1 1 0 WinterS  # 3
 1 0.67 1 1 0 SummerS  # 4
 3 0.73 1 2 0 TriEarly  # 5
 3 0.67 1 2 0 TriLate  # 6
 3 0.67 1 2 0 NWFSC  # 7
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
 1978 2.92 1 3 2 8 -1 -1 3 0 0 0 0 0 3.1939 8.41928 13.9652 7.2352 6.03207 4.22327 2.96036 2.27323 1.19229 0.505163 0 0 0 0 0 0.435851 14.5459 13.8433 10.285 4.83998 4.83998 1.20999 0 0 0 0 0 0 0
 1980 2.92 1 3 2 8 -1 -1 1 0 0 0 0.666667 5.33333 13.3333 3.33333 7.33333 4.66667 4.66667 3.33333 0.666667 4.66667 1.33333 0.666667 0 0 0 0 0 0 16.6667 0 33.3333 0 0 0 0 0 0 0 0 0 0
 1981 2.92 1 3 2 8 -1 -1 3 0 0 0 0.304814 2.82403 4.98685 10.0171 6.85622 3.59983 2.87087 2.42582 3.33709 4.3468 4.63044 0.848568 2.26442 0.68716 0 0 0 0.212093 5.79524 13.9756 16.1034 2.44216 0.848373 2.23007 4.56927 2.01797 0.212093 0 0.212093 1.38169 0
 1998 2.92 1 3 2 5 -1 -1 1 0 0 0 0 3.7037 12.963 7.40741 16.6667 5.55556 1.85185 1.85185 0 0 0 0 0 0 0 0 0 2.17391 26.087 8.69565 4.34783 6.52174 2.17391 0 0 0 0 0 0 0 0
 1999 2.92 1 3 2 5 -1 -1 2 0 0 0.855084 4.38044 3.42033 8.33333 12.2862 11.4311 7.74453 0 1.54891 0 0 0 0 0 0 0 0 0.437854 12.0372 16.4657 14.7142 4.7588 1.58627 0 0 0 0 0 0 0 0 0
 2000 2.92 1 3 2 5 -1 -1 5 0 0 0.0779948 0.912366 6.47184 12.0174 6.29407 12.0984 8.73306 0.993384 1.80116 0 0 0.600387 0 0 0 0 0 0.533255 2.31695 20.652 19.8464 5.39861 1.25281 0 0 0 0 0 0 0 0 0
 2001 2.92 1 3 2 5 -1 -1 6 0 0 0.515939 0 9.34081 19.3401 11.0176 5.08543 2.5797 1.9202 0.200215 0 0 0 0 0 0 0 0 0 2.40893 15.9322 24.6336 6.86941 0.155802 0 0 0 0 0 0 0 0 0
 2002 2.92 1 3 2 5 -1 -1 5 0 0.994155 5.46785 8.45032 10.4002 11.3944 8.87058 3.44113 0.484275 0.497078 0 0 0 0 0 0 0 0 0.71339 4.28034 8.51474 15.2001 13.1242 6.04544 2.1218 0 0 0 0 0 0 0 0 0
 2003 2.92 1 3 2 5 -1 -1 5 0 0 0.221284 3.30543 6.49662 9.57891 11.7605 11.1855 3.67054 0 0 3.67054 0 0 0.110642 0 0 0 0.0365841 0.161998 0.519403 23.6296 13.5157 7.28204 4.85469 0 0 0 0 0 0 0 0 0
 2004 2.92 1 3 2 5 -1 -1 7 0 0.228941 1.83153 0.801295 9.2202 9.47343 10.6667 7.11115 7.82226 1.42223 0.711115 0 0 0.711115 0 0 0 0 0 0.585188 2.00284 11.5071 28.0903 6.33616 1.05603 0.211205 0 0 0.211205 0 0 0 0 0
 2005 2.92 1 3 2 5 -1 -1 5 0 0 0.132178 1.27603 3.56373 9.73951 27.278 3.19363 1.06454 2.15552 1.06454 0.532272 0 0 0 0 0 0 0 0.0242162 0.0726485 6.94726 19.5276 20.5028 2.92551 0 0 0 0 0 0 0 0 0
 2006 2.92 1 3 2 5 -1 -1 5 0 0.232407 1.4244 1.38666 0.618133 3.72543 10.8328 21.9853 6.00513 2.25192 0.787161 0.750641 0 0 0 0 0 0 0.117918 1.13394 0.684845 10.4034 21.3061 8.77309 7.51979 0.0609743 0 0 0 0 0 0 0 0
 2007 2.92 1 3 2 5 -1 -1 5 0 0.0963745 1.92088 6.73781 3.637 8.01854 7.93027 8.17683 9.92533 1.71082 0.135344 1.71082 0 0 0 0 0 0 0 1.36652 4.01004 12.5246 10.9124 12.3731 8.81343 0 0 0 0 0 0 0 0 0
 2008 2.92 1 3 2 5 -1 -1 3 0 0 2.87072 9.22692 12.1027 6.20195 7.05698 6.78117 3.16684 2.16264 0 0.430053 0 0 0 0 0 0 0 0.984105 8.63607 8.1122 11.8239 11.3126 1.72993 5.1898 2.21138 0 0 0 0 0 0 0
 2009 2.92 1 3 2 7 -1 -1 3 0 0 0.73666 6.38438 2.70108 8.341 7.11323 5.49414 5.49414 8.24121 4.12061 1.37354 0 0 0 0 0 0 0 0 1.4381 4.69993 13.6619 15.8191 10.0667 3.59524 0.719049 0 0 0 0 0 0 0
 2009 2.92 1 3 2 5 -1 -1 3 0 0 1.16279 2.32558 4.65116 18.6047 8.13953 0 9.30233 1.16279 4.65116 0 0 0 0 0 0 0 0 0 0 15.6692 11.9699 9.68421 12.6767 0 0 0 0 0 0 0 0 0
 2010 2.92 1 3 2 7 -1 -1 4 0 0 0 3.4792 4.2649 7.33728 10.6709 8.72966 4.35892 6.78842 2.44131 1.45297 0.476452 0 0 0 0 0 0 0 7.29199 9.47852 16.1771 10.8915 5.48747 0 0 0.673416 0 0 0 0 0 0
 2011 2.92 1 3 2 7 -1 -1 1 0 0 0 1.72414 0 5.17241 13.7931 13.7931 5.17241 6.89655 1.72414 1.72414 0 0 0 0 0 0 0 0 0 11.7647 25 10.2941 2.20588 0.735294 0 0 0 0 0 0 0 0
 2012 2.92 1 3 2 7 -1 -1 2 0 0 0 0.752408 5.15567 14.6034 23.5378 0.376204 1.39363 2.78725 0 1.39363 0 0 0 0 0 0 0 0 0.488685 6.89696 29.9422 12.6721 0 0 0 0 0 0 0 0 0 0
 2013 2.92 1 3 2 7 -1 -1 6 0 0 0 1.07412 4.29647 5.15158 18.1382 15.2739 2.4263 2.4263 0 1.21315 0 0 0 0 0 0 0 0 0.152528 0.610113 5.93079 26.5101 12.9204 3.3593 0.258407 0 0.258407 0 0 0 0 0
 2014 2.92 1 3 2 7 -1 -1 2 0 0 0 0 0.470633 1.64721 19.6248 14.522 2.35316 5.80878 0 0.235316 2.43376 0.235316 0 2.43376 0.235316 0 0 0 0.149719 1.69818 3.09693 20.2797 13.9362 4.64539 4.64539 0 0 1.54846 0 0 0 0
 2015 1 1 3 2 7 -1 -1 2 0 0 0 0 0 1.31579 14.4737 11.8421 18.4211 1.31579 0 2.63158 0 0 0 0 0 0 0 0 0 0.806452 8.87097 17.7419 17.7419 3.22581 1.6129 0 0 0 0 0 0 0
 1960 9.04 2 3 2 8 -1 -1 1 0 0 0 12.5 4.16667 8.33333 4.16667 12.5 2.08333 4.16667 2.08333 0 0 0 0 0 0 0 0 1.73611 5.90278 6.25 9.02778 10.0694 12.8472 3.81944 0.347222 0 0 0 0 0 0 0
 1961 9.04 2 3 2 8 -1 -1 1 0 0 0 6.60377 7.54717 12.2642 2.83019 6.60377 8.49057 2.83019 1.88679 0.943396 0 0 0 0 0 0 0 0 10.6383 15.9574 8.51064 5.31915 4.25532 4.25532 0 0 0 0 0 0 0 1.06383
 1964 9.04 2 3 2 8 -1 -1 2 0 0 0 1.58629 7.07072 15.9245 13.3423 4.09494 3.23421 2.17668 0.725561 0.725561 0.725561 0 0 0.196797 0.196797 0 0 0.350488 4.46675 11.3382 19.8566 7.7358 3.1465 1.22276 0.700977 1.05146 0.130446 0 0 0 0 0
 1965 9.04 2 3 2 8 -1 -1 2 0 0 0 3.57284 3.21391 11.6093 13.2146 6.07218 5.17815 2.85498 2.31988 0.535103 1.42914 0 0 0 0 0 0 0.953176 7.14882 6.19125 10.5958 14.1626 9.40108 1.07068 0 0 0 0.476588 0 0 0 0
 1966 9.04 2 3 2 8 -1 -1 3 0 0 0.308189 6.67186 15.6648 8.03231 7.89626 6.36367 1.26468 1.74501 0.752423 0.616377 0.616377 0.0680227 0 0 0 0 0 0.318228 9.66904 22.9218 8.287 6.01782 2.14579 0.576714 0.0636455 0 0 0 0 0 0 0
 1967 9.04 2 3 2 8 -1 -1 5 0 0 0 0 2.22531 7.21551 5.73497 5.46549 9.07285 7.45738 3.93275 4.577 1.42471 1.3641 0.559504 0.970425 0 0 0 0 0.643343 6.02168 11.7251 11.4782 9.98826 3.83844 3.67234 2.05338 0.43442 0.144807 0 0 0 0
 1968 9.04 2 3 2 8 -1 -1 15 0 0 0.073776 0.312328 2.38106 9.67955 13.2345 7.779 5.18295 4.90501 3.01814 1.47877 0.933692 0.650162 0.300582 0.061237 0.00924161 0 0 0.299607 1.15081 4.94427 14.9151 14.8427 7.00735 4.66664 1.51093 0.489822 0.172801 0 0 0 0 0
 1969 9.04 2 3 2 8 -1 -1 9 0 0 0 0 2.11729 7.11337 11.8657 10.5352 6.55043 4.97185 2.63261 1.35672 2.52408 0.323213 0.00950741 0 0 0 0 0 1.30178 9.92299 11.9428 13.0324 6.464 5.10905 1.60759 0.61492 0 0.00442545 0 0 0 0
 1970 9.04 2 3 2 8 -1 -1 13 0 0 0.968468 6.69179 11.3297 6.8057 6.92288 6.75253 3.95577 2.85893 2.42535 0.792394 0.299061 0.118184 0.0792561 0 0 0 0 2.05199 12.6924 16.3766 7.90381 4.53495 3.61569 1.70312 0.413551 0.385825 0.161045 0 0.161045 0 0 0
 1971 9.04 2 3 2 8 -1 -1 17 0 0.0050451 0.299851 6.38826 14.0705 11.6696 5.76294 5.06122 3.50301 1.99042 0.471551 0.392572 0.19689 0.188088 0 0 0 0 0 0.414249 9.18695 23.8773 10.7064 4.13826 1.06232 0.588895 0.0177419 0.00796074 0 0 0 0 0 0
 1972 9.04 2 3 2 8 -1 -1 16 0 0 0.0765222 1.51806 7.96985 14.3568 8.19111 4.79581 3.73267 4.94293 2.07435 0.998401 0.647553 0.234385 0.461543 0 0 0 0 0.0617552 4.25868 15.612 17.2135 6.56059 2.50628 1.89267 1.4608 0.304454 0.129246 0 0 0 0 0
 1973 9.04 2 3 2 8 -1 -1 10 0 0 0 2.20447 8.19391 12.5887 12.8324 5.90089 2.62171 2.32175 1.54938 0.925005 0.362637 0.271978 0.0903779 0.136802 0 0 0 0.191834 3.11578 13.461 15.0185 11.9537 4.17451 1.66532 0.276379 0.0667145 0.0762352 0 0 0 0 0
 1974 9.04 2 3 2 8 -1 -1 35 0 0 0 2.42561 8.26849 15.2262 12.9708 6.46708 2.38685 1.22241 0.386313 0.49012 0.0473558 0.076849 0.00375 0.0282199 0 0 0 0.256874 4.33604 16.8909 17.4684 8.72574 1.82686 0.414756 0.0373444 0.00866364 0.0344939 0 0 0 0 0
 1975 9.04 2 3 2 8 -1 -1 14 0 0 0 0.300662 5.75296 9.75858 13.9729 8.37411 6.62496 2.10686 1.26504 0.744375 0.594044 0.275556 0.0707091 0 0.159244 0 0 0.140161 1.04336 10.6749 16.6908 14.1361 4.27034 2.14897 0.412639 0.342558 0 0.140161 0 0 0 0
 1976 9.04 2 3 2 8 -1 -1 5 0 0 0 1.10407 1.13863 7.27678 14.0681 11.525 8.21604 2.92724 2.43007 0.788449 0.525632 0 0 0 0 0 0 0.430665 0.841479 7.6262 14.4495 14.8621 7.06657 2.19935 1.35787 1.16627 0 0 0 0 0 0
 1977 9.04 2 3 2 8 -1 -1 1 0 0 0 0 0 0 13.3333 11.6667 15 3.33333 6.66667 0 0 0 0 0 0 0 0 0 0 6.42857 11.4286 20 7.85714 1.42857 1.42857 0.714286 0.714286 0 0 0 0 0
 1978 9.04 2 3 2 8 -1 -1 2 0 0 0 0 1.43873 3.68141 11.696 9.80878 7.28675 5.75491 5.30637 2.78434 1.34561 0.448537 0.448537 0 0 0 0 0 0.898453 3.1931 4.02267 8.50232 13.5268 10.7751 6.08882 2.495 0.49774 0 0 0 0 0
 1979 9.04 2 3 2 8 -1 -1 3 0 0 0 0 1.73053 1.89454 3.6158 3.35044 6.94934 10.1527 5.73073 6.73602 3.47467 4.3007 1.91279 0 0.151747 0 0 0 0 5.62279 6.41795 13.7041 8.96894 6.9624 4.47092 2.50503 1.07828 0.26957 0 0 0 0
 1980 9.04 2 3 2 8 -1 -1 16 0 0 0 0.497871 3.86786 7.8469 7.61043 6.98238 4.39021 3.76262 3.93774 3.58768 3.91207 1.59609 1.03735 0.754801 0.216005 0 0 0 1.26112 5.71553 13.2487 7.40022 5.99999 4.27147 4.21709 4.18764 1.85597 0.666256 0.814719 0.353687 0 0.00760333
 1998 9.04 2 3 2 5 -1 -1 11 0 0 0.326455 4.5997 13.1836 12.5334 9.81208 5.71807 2.37242 0.884721 0.359997 0.0221603 0 0 0.18738 0 0 0 0 0.898761 6.1773 17.1124 13.2973 4.91044 5.07778 2.48881 0 0.0371683 0 0 0 0 0 0
 1999 9.04 2 3 2 5 -1 -1 9 0 0.211241 0.836909 9.79073 14.3787 8.86987 9.17239 2.30086 2.22127 1.11345 0.73959 0.211241 0.0768604 0 0.0768604 0 0 0 0.0584804 1.88239 13.403 18.5772 10.9785 3.40326 0.826881 0.139013 0.39084 0.139013 0.0624606 0 0 0 0 0.139013
 2000 9.04 2 3 2 5 -1 -1 12 0 0 0.32922 2.74796 11.7737 15.7802 9.11586 6.22754 2.2971 1.09602 0.460795 0.171604 0 0 0 0 0 0 0 1.34889 9.5376 17.1098 11.6299 8.83122 1.54251 0 0 0 0 0 0 0 0 0
 2001 9.04 2 3 2 5 -1 -1 10 0 0.376299 2.06098 6.1785 12.5997 15.9923 8.42816 2.22603 1.42849 0.397304 0.0720113 0 0.208282 0.0319689 0 0 0 0 1.68898 2.32338 10.2338 22.0129 11.9655 1.69417 0.021933 0.0593578 0 0 0 0 0 0 0 0
 2002 9.04 2 3 2 5 -1 -1 10 0 0.0292765 3.08764 12.5566 12.3231 8.21369 7.2602 3.73004 1.5919 0.647134 0 0.526591 0.0338101 0 0 0 0 0 0.0595062 5.44933 20.549 10.8337 8.32075 3.16244 1.29138 0 0.333887 0 0 0 0 0 0 0
 2003 9.04 2 3 2 5 -1 -1 19 0 0.573565 2.12382 8.04882 22.4789 8.05594 4.71426 1.74826 1.32257 0.443751 0 0 0.175264 0 0 0.139609 0.175264 0 0.289287 5.76469 15.4351 23.1891 3.34504 1.54982 0.215235 0.00553265 0.206249 0 0 0 0 0 0 0
 2004 9.04 2 3 2 5 -1 -1 18 0 0.0150743 0.319567 3.49866 6.72161 26.7623 6.6555 1.29925 3.04143 0.515796 0.707843 0.109601 0.353367 0 0 0 0 0 0.097637 0.79804 7.31882 16.3794 19.1241 3.91001 1.14035 0.871263 0.360398 0 0 0 0 0 0 0
 2005 9.04 2 3 2 5 -1 -1 18 0 0.00698976 0.698149 1.99211 4.72213 10.0454 19.4705 6.00386 3.46432 1.4634 1.16093 0.708049 0.132062 0.132062 0 0 0 0 0 1.91136 4.87027 9.4843 15.8278 14.223 2.28213 0.808143 0.252912 0.340082 0 0 0 0 0 0
 2006 9.04 2 3 2 5 -1 -1 14 0 0 1.12932 4.47981 8.05511 9.28851 9.27046 10.0463 4.3564 1.32783 0.975211 0.818982 0.252043 0 0 0 0 0 0 2.79859 11.3826 6.27042 11.1293 11.0084 6.1354 0.213593 0.566463 0.495266 0 0 0 0 0 0
 2007 9.04 2 3 2 5 -1 -1 16 0 0 0.353196 3.20677 6.25422 8.95027 9.69673 7.22105 9.37519 2.51379 1.02134 0.468758 0.32915 0.205104 0.201236 0 0.203201 0 0 0.374558 4.33322 7.30217 13.3232 10.7371 9.92396 3.67826 0.109566 0.145315 0.036522 0 0.0361354 0 0 0
 2008 9.04 2 3 2 5 -1 -1 17 0 0 1.75295 4.7534 10.0661 9.52206 6.30726 4.87873 5.31487 4.2875 0.891572 0.836637 0.522389 0.068209 0.301507 0.196005 0.300771 0 0 1.062 5.41422 13.644 14.8539 7.44107 3.0346 2.01115 1.87087 0.419926 0 0 0.24823 0 0 0
 2009 9.04 2 3 2 7 -1 -1 8 0 0 0.656552 7.67678 12.4522 9.60713 7.93494 3.18184 2.00897 1.57126 2.08758 0.25816 1.09425 0.735171 0.0393092 0.25816 0.437702 0 0 0.395211 11.9983 16.0924 9.48507 5.74592 3.62789 1.72282 0.537184 0 0 0.395211 0 0 0 0
 2009 9.04 2 3 2 5 -1 -1 1 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2010 9.04 2 3 2 7 -1 -1 4 0 0 0 3.62998 9.94836 16.5753 8.91661 5.44759 3.0705 0 0 0 1.20583 1.20583 0 0 0 0 0 0 6.89795 11.3251 13.7016 7.00648 5.39627 2.51595 2.10448 0 0 0 0 1.05224 0 0
 2011 9.04 2 3 2 7 -1 -1 11 0 0 0 1.80593 23.1218 14.4641 5.42161 2.09668 0.973573 0.921941 0.433467 0.290054 0.113147 0.122273 0.204818 0.0153754 0.0152273 0 0 0 2.46586 21.977 17.3102 4.88887 1.93311 0.22052 0.239181 0.173669 0.135117 0.502099 0.0963785 0.0580146 0 0
 2012 9.04 2 3 2 7 -1 -1 10 0 0 0.0769445 2.29816 11.461 22.1497 7.57946 3.1471 0.858807 0.757089 0.636533 0.636533 0.39874 0 0 0 0 0 0.0814812 0 0.902118 13.9463 25.1334 5.3248 3.73755 0.519147 0 0.330968 0.0242538 0 0 0 0 0
 2013 9.04 2 3 2 7 -1 -1 10 0 0 0.26178 0.78534 6.28272 12.0419 18.0628 7.8534 2.09424 1.57068 0.52356 0.26178 0 0 0 0.26178 0 0 0 0.163934 0.983607 5.08197 14.918 19.5082 6.55738 1.63934 0.655738 0.163934 0.327869 0 0 0 0 0
 2014 9.04 2 3 2 7 -1 -1 7 0 0 0 0 2.58065 5.48387 14.1935 13.2258 6.45161 4.51613 1.93548 0.967742 0 0.322581 0 0 0.322581 0 0 0 0.512821 2.5641 6.41026 17.1795 15.8974 3.84615 2.05128 0.769231 0.25641 0.25641 0 0 0 0.25641
 1967 2.92 1 3 2 8 -1 -1 4 0 0 0 0 1.24697 5.35007 14.6047 10.6959 9.39738 4.01993 1.1985 1.87994 1.1985 0 0.408095 0 0 0 0 0 0.641578 5.29534 18.9777 13.9934 6.07964 2.06746 2.06746 0.877474 0 0 0 0 0 0
 1968 2.92 1 3 2 8 -1 -1 11 0 0 0.150428 0.150428 1.56997 7.23063 10.626 11.0661 6.92661 5.50539 3.91885 1.351 0.689782 0.104875 0.605124 0 0.104875 0 0 0 0.734236 2.80098 12.6065 17.9187 8.81164 4.28361 1.17565 1.09644 0.326004 0.24622 0 0 0 0
 1969 2.92 1 3 2 8 -1 -1 9 0 0 0 1.94519 9.50504 9.09968 6.65612 8.55973 4.54177 4.09418 2.45656 1.68 1.04052 0.130845 0.159519 0 0.130845 0 0 0 1.82848 10.86 14.5942 7.89288 8.00981 4.13748 1.51089 1.16629 0 0 0 0 0 0
 1970 2.92 1 3 2 8 -1 -1 7 0 0 0 0.672683 5.55022 12.171 8.27035 7.3221 4.43719 5.56642 3.53998 1.42337 0.513568 0.437035 0 0.0960976 0 0 0 0 1.425 9.5506 17.3445 11.4253 7.7205 1.87926 0 0.654923 0 0 0 0 0 0
 1971 2.92 1 3 2 8 -1 -1 4 0 0 0 1.02126 4.39018 10.3366 9.72329 4.86069 5.24709 5.72547 6.80459 1.02126 0.434763 0 0 0 0.434763 0 0 0 1.62081 10.6841 14.0937 10.4823 5.21949 5.76055 2.13904 0 0 0 0 0 0 0
 1977 2.92 1 3 2 8 -1 -1 1 2.27273 0 0 0 4.54545 11.3636 18.1818 6.81818 4.54545 2.27273 0 0 0 0 0 0 0 0 0 0.641026 1.92308 8.33333 15.3846 15.3846 3.84615 3.84615 0.641026 0 0 0 0 0 0 0
 1978 2.92 1 3 2 8 -1 -1 1 0 0 0 0.555556 3.88889 11.6667 10 6.66667 7.22222 5 3.33333 0.555556 1.11111 0 0 0 0 0 0 0 0 25 18.75 0 6.25 0 0 0 0 0 0 0 0 0
 1980 2.92 1 3 2 8 -1 -1 6 0 1.7367 2.3156 12.4666 1.72936 10.7639 6.15441 4.67729 4.17405 2.84145 0.867219 0.696497 0.785304 0.337381 0.348955 0 0.105279 0 0.898453 3.09663 0.103462 4.04023 9.90803 7.54612 8.68836 6.93963 2.55079 1.61196 2.69943 1.17629 0 0.740623 0 0
 1981 2.92 1 3 2 4 -1 -1 5 0 0 0.891955 4.4918 6.1287 8.15579 5.3359 4.0204 3.40161 2.49273 2.04375 3.16891 3.28575 1.66112 1.6747 1.64029 1.60661 0 0 0.42461 3.04604 11.9382 10.4077 8.97971 5.64695 1.92647 2.47877 1.35677 0.49218 1.94815 0.812663 0 0.270888 0.270888
 1982 2.92 1 3 2 4 -1 -1 5 0 0 0 2.40392 4.10181 7.00469 6.13879 6.05 3.08195 4.89391 3.44315 2.01324 2.5831 3.05542 3.1916 0.202813 1.83559 0 0 1.96972 3.93939 8.8838 14.4031 6.05253 7.36568 2.6464 0.984861 0.656574 0.984861 0 0.348394 0.123262 0.328287 1.31315
 1983 2.92 1 3 2 4 -1 -1 3 0 0 0 0.361986 0.834478 5.5403 5.6508 9.01918 3.08643 4.53437 4.67535 4.86589 3.1169 3.66943 2.50343 1.30697 0.834478 0 0 1.13297 8.49726 10.6678 6.92306 3.96539 6.92306 2.56412 1.99764 1.8247 0.345867 0 0.345867 1.43115 0.518801 2.8623
 1984 2.92 1 3 2 2 -1 -1 2 0 0 0 0.868578 3.17931 3.17383 3.61086 4.46848 8.49446 4.03693 2.73681 3.02085 5.90516 3.74193 3.88396 0.721077 2.15775 0 0 2.50105 15.8576 8.3228 9.17404 3.33123 6.10549 0.830173 3.04748 0.830172 0 0 0 0 0 0
 1986 2.92 1 3 2 2 -1 -1 3 0 0 0.852538 2.53585 2.99206 9.91365 18.248 8.0801 2.97029 0.713173 2.5549 0 0 0 0 0.426269 0.713173 0 0 0 5.06309 10.0712 18.4333 11.5911 1.64744 1.93517 0.573286 0 0.342658 0.342658 0 0 0 0
 1987 2.92 1 3 2 4 -1 -1 7 0 0 0 0.949787 5.4439 10.3123 14.5606 12.337 4.34402 1.07189 0.175801 0.423782 0.0421488 0 0.25436 0 0.0842975 0 0 0 6.00761 12.6261 16.1238 10.2952 3.60534 0.920107 0.421889 0 0 0 0 0 0 0
 1988 2.92 1 3 2 4 -1 -1 4 0 0 0 1.78351 18.0299 9.65566 9.46083 4.11031 5.35052 0 0.891754 0 0 0 0 0 0.717522 0 0 3.76544 12.1143 17.1913 12.9012 0 4.02776 0 0 0 0 0 0 0 0 0
 1989 2.92 1 3 2 2 -1 -1 10 0 0 0 1.69264 8.04708 11.8847 10.0929 8.87982 4.22163 3.00492 1.45084 0.725418 0 0 0 0 0 0.305498 0 1.22199 9.41486 19.2049 8.76508 7.58187 2.40907 0.485693 0.610995 0 0 0 0 0 0 0
 1990 2.92 1 3 2 2 -1 -1 4 0 0 0 0.980609 6.54108 9.26451 9.74352 4.89666 6.70148 3.07564 3.64325 2.59023 1.02521 0 0.512607 0.512607 0.512607 0 0 0 1.52353 12.1637 12.085 12.0886 5.35141 4.14186 0.718162 1.50749 0 0 0 0.210117 0 0.210117
 1991 2.92 1 3 2 4 -1 -1 11 0 0 0 1.62088 7.78558 16.3866 12.5188 7.50939 2.79064 0.68681 0.350638 0 0 0.350638 0 0 0 0 0 0 3.89574 10.2157 15.5805 14.5727 3.82353 1.27451 0 0 0 0.637255 0 0 0 0
 1992 2.92 1 3 2 4 -1 -1 4 0 0 2.91958 5.83916 10.8887 5.83916 9.82372 8.85053 3.89277 1.94639 0 0 0 0 0 0 0 0 0 2.09408 22.3829 14.8359 4.97823 4.72126 0.592552 0.296276 0.0987586 0 0 0 0 0 0 0
 1993 2.92 1 3 2 4 -1 -1 7 0 0 0 2 12 12 10 5 8.5 0.5 0 0 0 0 0 0 0 0 0 0 9.32203 16.5254 10.5932 6.35593 4.23729 0.847458 0.847458 0.847458 0.423729 0 0 0 0 0
 1994 2.92 1 3 2 4 -1 -1 9 0 0 0.443131 4.44919 11.3675 15.3107 7.3323 4.19781 3.34648 2.4285 1.12434 0 0 0 0 0 0 0 0 2.73075 11.3795 21.7153 8.776 2.85769 1.00604 1.1045 0.430143 0 0 0 0 0 0 0
 1995 2.92 1 3 2 4 -1 -1 8 0 0 0.70363 2.4627 10.1464 14.7199 8.03546 5.27722 4.13736 1.75907 1.0273 0.351815 1.0273 0 0.351815 0 0 0 0 0.651719 7.74243 15.3806 16.9317 6.71272 1.30344 1.27737 0 0 0 0 0 0 0 0
 1996 2.92 1 3 2 4 -1 -1 3 0 0 1.36684 2.88801 11.3977 14.44 11.2434 4.25485 0 1.36684 0.154332 1.36684 1.36684 0 0 0 0.154332 0 0 1.45471 1.61896 18.2778 15.3684 9.54952 3.40218 0.328508 0 0 0 0 0 0 0 0
 1997 2.92 1 3 2 4 -1 -1 5 0 0 2.29615 3.24023 6.28535 14.7479 10.8777 8.35948 3.34483 0.774355 0.0740077 0 0 0 0 0 0 0 0 3.55932 12.204 6.264 16.8652 6.90977 2.5608 1.63686 0 0 0 0 0 0 0 0
 1998 2.92 1 3 2 2 -1 -1 1 0 0 0 0 0 8.33333 8.33333 4.16667 20.8333 8.33333 0 0 0 0 0 0 0 0 0 0 0 6.25 14.5833 10.4167 16.6667 0 0 2.08333 0 0 0 0 0 0
 1998 2.92 1 3 2 4 -1 -1 3 0 0 0 2.5641 3.84615 12.8205 11.5385 8.97436 6.41026 2.5641 1.28205 0 0 0 0 0 0 0 0 1.19048 27.381 10.7143 5.95238 4.7619 0 0 0 0 0 0 0 0 0 0
 1999 2.92 1 3 2 2 -1 -1 4 0 0 0 0 3.51528 12.8062 11.4719 10.3266 6.40308 1.96175 1.03569 1.96175 0.517844 0 0 0 0 0 0 0 0.297803 8.90792 16.3899 10.8664 4.51265 5.64081 1.12816 2.25633 0 0 0 0 0 0
 2000 2.92 1 3 2 2 -1 -1 1 0 0 0 0 9.52381 33.3333 4.7619 0 0 2.38095 0 0 0 0 0 0 0 0 0 0 6.25 15.625 21.875 6.25 0 0 0 0 0 0 0 0 0 0
 2002 2.92 1 3 2 3 -1 -1 4 0 0 0 2.38095 4.7619 7.14286 21.4286 10.7143 2.38095 1.19048 0 0 0 0 0 0 0 0 0 0 5.66038 11.3208 13.2075 13.2075 4.71698 1.88679 0 0 0 0 0 0 0 0
 2003 2.92 1 3 2 3 -1 -1 7 0 0 0 0 5.71429 10.4762 14.7619 10.4762 5.2381 0.952381 0 0.952381 0.952381 0 0 0 0.47619 0 0 0 2.23214 12.9464 14.7321 12.0536 6.25 1.33929 0 0.446429 0 0 0 0 0 0
